$4, 120000.00, 5956.97, N, 3022.03, E
$4, 130000.00, 5956.97, N, 3020.94, E
$4, 140000.00, 5956.76, N, 3019.85, E
$4, 150000.00, 5956.43, N, 3018.67, E
$4, 160000.00, 5956.17, N, 3018.67, E
$4, 170000.00, 5956.00, N, 3018.95, E
$4, 180000.00, 5955.92, N, 3018.75, E
$4, 183000.00, 5955.63, N, 3019.06, E
$4, 190000.00, 5955.30, N, 3019.05, E
$4, 193000.00, 5954.94, N, 3017.61, E
$4, 200000.00, 5954.97, N, 3016.79, E
$4, 203000.00, 5954.55, N, 3016.56, E
$4, 210000.00, 5954.24, N, 3016.69, E
$4, 220000.00, 5954.04, N, 3016.41, E
$4, 230000.00, 5953.83, N, 3016.48, E
$5, 090000.00, 6000.94, N, 3027.62, E
$5, 100000.00, 5958.44, N, 3024.93, E
$5, 110000.00, 5957.46, N, 3024.46, E
$5, 120000.00, 5955.53, N, 3023.97, E
$5, 130000.00, 5955.41, N, 3023.07, E
$5, 140000.00, 5955.82, N, 3022.00, E
$5, 150000.00, 5956.01, N, 3019.98, E
$5, 160000.00, 5956.31, N, 3018.56, E
$5, 170000.00, 5955.99, N, 3017.47, E
$6, 120000.00, 5959.32, N, 3020.43, E
$6, 130000.00, 5957.58, N, 3021.24, E
$6, 140000.00, 5956.91, N, 3020.91, E
$6, 150000.00, 5955.69, N, 3020.92, E
$6, 160000.00, 5955.03, N, 3019.09, E
$7, 102000.00, 5956.40, N, 3018.60, E
$7, 112000.00, 5956.28, N, 3018.76, E
$7, 153200.00, 5956.23, N, 3018.74, E
$7, 184100.00, 5956.05, N, 3018.25, E
$7, 201500.00, 5956.19, N, 3018.06, E
$7, 230100.00, 5955.99, N, 3017.47, E
